trial_code;hospital_id
NCT04002297;6f48436f
NCT04002297;42ec3f59
NCT04002297;4e949b55
NCT04002297;622b5a38
NCT04002297;c500c666
NCT04002297;d25c72da
NCT04008030;734eb4fb
NCT04008030;12abb9e7
NCT04008030;f9fffacb
NCT04008030;3576f4e4
NCT04008030;aecb0036
NCT04008030;ebecda7f
NCT04008030;83c6f8b8
NCT04024436;a52deb62
NCT04024436;3c6cecd5
NCT04024436;1821989c
NCT04024436;77ad3f7a
NCT04024436;e0d4287a
NCT04031677;b62a30ee
NCT04031677;4ba7a6b5
NCT04031677;7f1ba71b
NCT04044768;db38d73e
NCT04044768;bcb2a6aa
NCT04044768;2f22ffa4
NCT04044859;30a3c5c6
NCT04044859;43d15f87
NCT04044859;3b431668
NCT04044859;63f30e2b
NCT04044859;cfdf42cd
NCT04044859;311dbdb7
NCT04044859;03f66a23
NCT04044859;30083f3d
NCT04058756;8ced6b02
NCT04069026;60efba94
NCT04069026;dfef8fbd
NCT04069026;23a11ca6
NCT04077463;c0c9ea0f
NCT04077463;50921430
NCT04077463;529eea97
NCT04077463;ebecda7f
NCT04077463;13244f13
NCT04077463;1ea8f6e5
NCT04077463;57298d6d
NCT04077463;434f8ded
NCT04077723;91a1443d
NCT04101357;ace4fb0a
NCT04101357;d0cecb94
NCT04101357;25ec0c89
NCT04102020;d4252b8c
NCT04102020;733ac4c8
NCT04102020;d9e3509d
NCT04113616;03f66a23
NCT04113616;da562081
NCT04113616;1102b5e5
NCT04116658;d06b2bf9
NCT04116658;07df644c
NCT04117958;070437ea
NCT04117958;806da020
NCT04123366;dbbfd823
NCT04123366;43d15f87
NCT04123418;c975d68a
NCT04126200;2c64e9ae
NCT04126200;33eab43b
NCT04126200;27a8b01f
NCT04126200;2715096b
NCT04126200;673cd649
NCT04129502;d4252b8c
NCT04129502;385b9a3c
NCT04129502;33eab43b
NCT04129502;23f799a1
NCT04129502;ed8989ad
NCT04129502;214eb259
NCT04129502;b38a7550
NCT04129502;db1b90e0
NCT04129502;f45fad8d
NCT04129502;5b4be63a
NCT04129502;b4502765
NCT04133636;a55497bb
NCT04134000;d6807773
NCT04140500;c550c902
NCT04140500;622b5a38
NCT04140500;4a6fa0dd
NCT04145349;014c74a5
NCT04145349;40dfd9b5
NCT04145349;4493633d
NCT04145349;806da020
NCT04147234;08c2e197
NCT04147234;00166de9
NCT04147234;f8a1db2b
NCT04154956;7,48E+26
NCT04154956;514a4466
NCT04154956;92196507
NCT04154956;6126dcb2
NCT04154956;c8bb9f11
NCT04154956;69877eaf
NCT04154956;8b5c831f
NCT04154956;72d991a5
NCT04154956;8f877628
NCT04154956;17e04a70
NCT04154956;514a4466
NCT04160546;ebca53fb
NCT04160546;4f6cbc91
NCT04160546;05b81283
NCT04161885;acda8877
NCT04165070;d298c8c9
NCT04165096;b0c7b01c
NCT04172675;e6c9dfdc
NCT04172675;5cd0faf0
NCT04172675;8376d9b5
NCT04182204;890abb32
NCT04182204;4f1fc8a9
NCT04187404;a4e848e0
NCT04188548;c46a9032
NCT04188548;130bd358
NCT04188548;9fa51bc2
NCT04188548;7a871c63
NCT04188548;958b05f3
NCT04188548;b5a06c86
NCT04188548;81f30df9
NCT04188548;36b9beb1
NCT04188548;0a6f4e09
NCT04188548;fd68e1d5
